A4	[0]/'ei'fO:	n. A4型纸（规格为297×210毫米的纸）
A5	[0]/'ei'faiv	n. A5型纸（标准的纸张尺寸）
AB	[0]/'e,bi	abbr. 空运（airborne）
ABA	[0]/B:'bB:	abbr. 美国银行家协会（American Bankers Association）
ABC	[3A]//'e 'bi 'si	n. 基础知识；字母表
ABD	[0]/,ebi'di	abbr. 准博士（All But Dissertation）
ACCA	[0]/'AkE	abbr. 特许公认会计师公会（Association of Charted Certified Accountants）；美国空调承包商协会（Air Conditioning Contractors of America）
ACK	[0]/,Ak'Ak	abbr. 命令正确应答；确认字符（acknowledgement character）
ACTH	[0]/,ei,si:ti:'eitF	abbr. [生化][生理] 促肾上腺皮质激素（Adrenocorticotropic Hormone）
ACTO	[0]/'AktEu	n. 雅图（投影机品牌）
ACTS	[0]/Akts	abbr. 声控遥测系统（Acoustic Control and Telemetry System）；声控制与遥测系统（Acoustic Control and Telemetry System）
AD	[0]/'e 'di	n. 公元
ADAPTS	[0]/E'dApts	abbr. 模拟-数字-模拟处理与测试系统（Analogue-Digital-Analogue Process and Test System）；适应性销售量表
ADC	[0]/,ei di: 'si--	abbr. 机载数字计算机（Airborne Digital Computer）；模拟数字转换器（Analog to Digital Converter）
ADHD	[0]/,ei di: ,eitF 'di:	abbr. 注意力不集中症（ attention deficit hyperactivity disorder ）
ADN	[0]/'Adn	abbr. 德意志通讯社（Allgemeiner Deutscher Nachrichtendienst，等于General German News Service）；先进数字网络（Advanced Digital Network）；己二腈（Adiponitrile）
ADP	[0]/,eidi:'pi:	abbr. 自动数据处理（Automatic Data Processing）
AE	[0]/ei	abbr. 行政帐户（account executive）；航空工程（Aeronautical Engineer）
AES	[0]/iz	abbr. 美国电化学协会（American Electrochemical Society）；美国电镀工作者协会（American Electroplaters Society）；陆军商品零售部（Army Exchange Service）；人造地球卫星（Artificial Earth Satellite）；原子发射光谱测量局（Atomic Emission Spectrometry）
AF	[0]/Af	abbr. 视频，音频（audio frequency）；空军（Air Force）；法国航空公司（Air France）
AGG	[0]/Aɡ	abbr. 自动增益控制；automatic gain control
AGM	[0]/,ei dGi: 'em	abbr. 空对地导弹（Air-to-Ground Missile）；美国音乐家协会（American Guild of Musicians）
AI	[0]/ai	abbr. 人工智能（artificial intelligence）
AJAX	[0]/'eidGAks	创建交互式 Web 应用程序而无需牺牲浏览器兼容性的流行方法（Asynchronous JavaScript and XML）；爵士白；铅青铜轴承合金
AK	[0]/Ok	abbr. 美国阿拉斯加邮递区号（Alaska）；成套配合件
AKE	[0]/eik	abbr. 密钥交换（Authenticated Key Exchange）；肢端角化性弹性组织角化症（acrokeratoelastoidosis）；（阿克）反精英键盘记录（Anti-Keylogger Elite）
AL	[0]/B:l	abbr. 美国联盟（American League）；美国军团（American Legion）；阿尔巴尼亚（Albania，欧洲一国家名）；美国亚拉巴马州（Alabama）
ALGOL	[0]/'AlgBl	abbr. 算法语言（Algorithmic Language）；代数排列语言（Algebraic Oriented Language）
AMA	[0]/'B:mB:	abbr. 美国医学协会（American Medical Association）；美国经营管理协会（American Management Association）；美国飞机制造商协会（Aircraft Manufacturers Association）
AMI	[0]/B:'mi:	abbr. 高级材料情报（Advanced Material Information）；美国食用肉类研究所（American Meat Institute）；航空英里指示器（Air Mileage Indicator）
AMON	[0]/'B:mEn	文件实时监控
ANA	[0]/'AnE	abbr. 美国自然协会（American Nature Association）；美国报业协会（American Newspaper Association）；美国护士协会（American Nurses Association）；全日本航空公司（All Nippon Airways）
APL	[0]/,eipi:'el	abbr. APL语言（A Programming Language）
ARA	[0]/'erE	abbr. 非洲铁路协会（African Railway Association）；机载雷达附件（Airborne Radar Attachment）
ARB	[0]/B:b	abbr. 空气资源委员会（Air Resources Board）；航空注册局（Air Registration Board）；航空研究局（Air Pesearch Bureau）
ARD	[0]/B:d	abbr. 远景研究部（Advanced Research Division）；近似混响反褶积；德国国营广播电台工作联合会
ARP	[0]/a:p	abbr. 地址解析协议（Address Resolution Protocol）；分析性复核（Analytical Review Procedure）
ASA	[0]/'eisE	abbr. 美国标准协会（American Standards Association）；美国声学学会（Acoustical Society of America）；（英国）广告标准管理局（Advertising Standards Authority）
ASCII	[3A]/'Aski/	abbr. 美国信息交换标准码（American Standard Code for Information Interchange）
ASEAN	[0]/'B:si:On	abbr. 东南亚国家联盟（东盟）（Association of Southeast Asian Nations）
ASSE	[0]/As	abbr. 美国安全工程师学会（American Society of Safety Engineers）；美国卫生工程学会（American Society of Sanitary Engineering）；美国学生交换组织（American Scandinavian Student Exchange）
ATA	[0]/,AkEn'ZEumEtE	abbr. 航空运输协会（Air Transport Association of America）；高级技术附加装置（Advanced Technology Attachment）
ATP	[0]/,ei,ti:'pi:	abbr. 三磷酸腺苷（Adenosine Triphosphate）；农业贸易政策（Agricultural Trade Policy）；阵列变换处理机（Array Transform Processor）；宇宙航行测试程序（Astronautics Test Procedure）
ATV	[3A]/,ei ti: 'vi:/	abbr. 全地形交通工具（All-Terrain Vehicle）；自动售票机（Automatic Ticket Vendor）；联合电视公司（英国）（Associated Television）
AU	[0]/Eu	abbr. 任意单位（Arbitrary Unit）；运算器（Arithmetical Unit）；原子单位（Atom Unit）
AUX	[0]/Eu; 元音前 Euz	abbr. 辅助设备的逻辑设备名
AV	[0]/'e 'vi	abbr. 简易型（Austere Version）；《圣经》钦定英译本（Authorized Version）；音频（audio）视频（video）的简称
Aaron	[3A]/'εErEn/	n. 亚伦（男子名）；亚伦（摩西之兄，犹太教的第一祭司长）
Abba	[0]/'B:bB:	n. 神父
Abby	[0]/'Abi	n. 艾比（女子名）
Abe	[0]/eib	n. 亚伯（男子名，等于Abraham）
Abel	[3A]/'eibEl/	n. 亚伯（亚当和夏娃的次子）；艾贝尔（男子名）
Aberdeen	[3A]/,AbE'di:n/	n. 亚伯丁（英国苏格兰一郡 ）；苏格兰粗毛猎狐狗（等于Aberdeenterrier）
Abidjan	[3A]/,Abi'dGB:n/	n. 阿比让（科特迪瓦首都）
Abigail	[3A]/'AbIgeIl/'AbI,gel	n. 阿比盖尔（女名）
Abo	[0]/'ei'bi:'Eu	adj. 土著的；土著居民的
Abraham	[3A]/'eibrE,hAm/	n. 亚伯拉罕（男子名）
Abram	[3A]/'eibrEm/	n. 艾布拉姆（男子名，等于Abraham）
Acadia	[3A]/E'keidjE/	n. 阿卡迪亚（1604-1713年法国在北美东南沿海一带的殖民地），美国路易斯安娜州东南部的教区
Acapulco	[3A]/,AkE'pulkEu/	n. 阿卡普尔科（墨西哥南部港市）
Acer	[0]/'esM	n. 宏碁（公司名，主要生产个人电脑产品）
Ada	[3A]/'eidE/	n. 艾达（女子名）
Adam	[3A]/'AdEm/	n. 亚当
Adams	[3A]/'AdEmz/	n. 亚当斯（姓氏）
Addie	[0]/'Adi	n. 艾迪（女子名，等于Adelaide）
Addis	[0]/'Adis	n. 艾缔思（姓氏）
Addison	[3A]/'Adisn/	n. 艾迪生（姓氏）
Adelaide	[3A]/'AdEleid/	n. 阿德莱德（女子名，澳大利亚港市）
Adele	[3A]/E'del/	n. 阿黛尔（女子名）
Aden	[3A]/'eidEn/	n. 亚丁（也门人民共和国首都）；亚丁湾
Adidas	[0]/E'di:dEz	n. 阿迪达斯（体育用品公司，主要生产运动服等）
Adler	[3A]/'AdlE/	n. 阿德勒（姓氏）
Adrian	[3A]/'eidriEn/	n. 艾德里安（男子名）；艾德里安市（美国密歇根州东南部城市）
Adriatic	[0]/,eidri'Atik	adj. 亚得里亚海的；亚得里亚海沿岸居民的
Aegean	[0]/i:'dGi:En	adj. 爱琴海的
Aeolus	[3A]/'i:EulEs/	n. 埃俄罗斯（希腊神话中的风神）
Aesop	[3A]/'i:sOp/	n. 伊索（希腊寓言作者）
Africa	[3A]/'AfrikE/	n. 非洲
African	[3A]/'AfrIk(E)n/'AfrIkEn	adj. 非洲的，非洲人的
Agatha	[3A]/'AɡEZE/	n. 阿加莎（女子名）
Agnes	[3A]/'Aɡnis/	n. 艾格尼丝（女子名）
Agra	[3A]/'B:ɡrE/	n. 阿格拉（印度北部一城市）
Agricola	[3A]/E'grikElE/	n. 阿格里科拉（德国历史学家和矿物学家）
Ahmad	[3A]/'B:hmAd/	n. 阿哈默德（穆罕默德在《古兰经》中的名称）
Aiken	[3A]/'eikin/	n. 艾肯（美国诗人、文学批评家、小说家）；艾肯（南卡罗莱纳大学University of South Carolina 分校校区）
Aileen	[3A]/ei'li:n; 'eili:n/	n. 艾琳（女子名，等于Alene，Eileen，Helen）
Ain	[0]/An	adj. （苏格兰）自己的
Aire	[0]/'εE	n. 亚耳河（英国约克郡西部河流）
Akron	[3A]/'AkrEn/	n. 阿克隆黄铜；亚克朗市（美国俄亥俄州）
Alabama	[3A]/,AlE'bAmE/	n. 阿拉巴马州（美国州名）
Aladdin	[3A]/E'lAdin/	n. 阿拉丁（《一千零一夜》中获得神灯的青年名）
Alan	[3A]/'AlEn/	n. 艾伦（男子名）
Alaska	[3A]//E'lAskE	n. 阿拉斯加州
